FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,W/L
39,88,44.3,7,30,23.3,17,20,85,10,31,41,27,3,7,4,18,1,113.3,113.5,-0.1,69.2,6.75,23.5,72,47.5,4.4,48.3,52.7,89.5,52.4,1
36,87,41.4,9,33,27.3,19,25,76,10,25,35,25,11,0,14,24,-17,104.2,119.4,-15.2,69.4,1.79,24.6,66.7,41.7,14.6,46.6,51,97,37.5,0
44,80,55,12,28,42.9,15,22,68.2,10,33,43,26,5,7,20,17,-1,117.3,119.6,-2.2,59.1,1.3,30,68.5,52.1,20.4,62.5,64.1,97.5,51.8,0
48,93,51.6,14,34,41.2,8,8,100,7,37,44,24,9,5,16,18,-7,111.3,117.9,-6.6,50,1.5,20,85.1,53.3,15.1,59.1,61.1,106,45.7,0
30,81,37,11,33,33.3,20,26,76.9,8,33,41,17,8,3,16,23,-10,91,100,-9,56.7,1.06,18.5,66.1,42.7,16,43.8,49.2,100.5,41.6,0
33,78,42.3,15,45,33.3,15,24,62.5,9,28,37,26,3,8,20,19,-36,98,134.7,-36.7,78.8,1.3,24.5,62.5,43.3,20.4,51.9,54.2,98,32.1,0
36,87,41.4,17,48,35.4,14,19,73.7,12,30,42,22,5,3,10,18,1,113.2,113.3,-0.1,61.1,2.2,31.5,64.7,47.6,11,51.1,54,90.5,49,1
43,96,44.8,13,35,37.1,10,16,62.5,14,27,41,22,10,3,11,17,3,112.4,110.4,2,51.2,2,33.9,70.7,49.5,11.3,51.6,52.9,96.5,49,1
43,87,49.4,16,36,44.4,15,19,78.9,7,27,34,27,8,5,15,12,-2,112.5,114.4,-1.9,62.8,1.8,20,69.8,44.3,14.4,58.6,61.3,104,49.3,0
38,84,45.2,14,33,42.4,16,22,72.7,6,25,31,22,9,1,13,19,-8,106,114,-8,57.9,1.69,16.7,68.3,40.4,13,53.6,56.6,100,40.5,0
36,88,40.9,12,35,34.3,26,34,76.5,13,29,42,27,10,2,22,27,-5,102.8,106.5,-3.7,75,1.23,33.3,75,51.1,20.6,47.7,53.4,107.5,43.1,0
33,86,38.4,6,31,19.4,15,21,71.4,9,40,49,21,7,9,21,19,-21,83.7,103.8,-20.2,63.6,1,23.2,76.8,50,20.2,41.9,45.7,104,37.4,0
42,88,47.7,10,31,32.3,28,42,66.7,10,27,37,22,7,4,13,17,2,114,113.2,0.8,52.4,1.69,26.4,79.1,50,12.1,53.4,57.3,96.45,49,1
36,85,42.4,5,29,17.2,16,23,69.6,16,32,48,18,6,1,13,15,6,101.1,95.6,5.5,50,1.38,35.2,77.8,54.5,14.1,45.3,48.9,91.5,51.6,1
46,84,54.8,16,32,50,10,14,71.4,10,36,46,30,8,3,21,17,7,115.7,108.8,6.9,65.2,1.43,26.2,71.7,51.6,20.6,64.3,65.4,102,55.4,1
36,83,43.4,14,39,35.9,10,14,71.4,9,29,38,24,5,3,22,23,-15,95,109.9,-14.9,66.7,1.09,25,70.5,46.7,21.8,51.8,53.8,101,39.6,0
35,91,38.5,10,35,28.6,21,23,91.3,13,32,45,19,7,4,16,20,-19,100,117.6,-17.6,54.3,1.19,29.8,72.3,49,15.8,44,49.9,101.5,38,0
37,84,44,12,29,41.4,13,26,50,9,33,42,26,6,5,20,29,-22,93.4,114.2,-20.8,70.3,1.3,21.8,67.3,43.9,18.9,51.2,51.9,106,34.7,0
45,88,51.1,23,44,52.3,13,16,81.3,9,32,41,28,3,4,19,18,1,120,120.2,-0.2,62.2,1.47,27.3,59.6,45.5,18.1,64.2,66.3,104.5,50.6,1
42,84,50,12,34,35.3,12,15,80,14,32,46,23,8,6,21,21,5,109.1,105.1,4,54.8,1.1,34.9,76.2,55.3,21.2,57.1,59.6,98.5,49.7,1
39,92,42.4,12,34,35.3,17,25,68,5,26,31,23,14,3,7,31,-3,101.9,105.8,-3.9,59,3.29,14,74.3,37,6.7,48.9,51.9,104.5,44.4,0
40,97,41.2,9,38,23.7,13,15,86.7,17,28,45,27,12,6,17,25,-6,101,106.9,-5.9,67.5,1.59,37.9,69.8,51.5,16.8,45.9,49.2,101,43.8,0
45,94,47.9,11,30,36.7,7,11,63.6,9,31,40,24,10,5,10,19,-7,108,116.2,-8.2,53.3,2.4,23.5,71.1,45.8,10,53.7,54.6,99.5,48.5,0
44,94,46.8,10,36,27.8,11,17,64.7,12,30,42,24,7,5,14,21,2,112.4,108.1,4.3,54.5,1.71,32.1,66.7,48,14.4,52.1,53.7,98,47.4,1
41,89,46.1,17,35,48.6,16,23,69.6,13,20,33,26,12,3,8,22,-10,119.8,133,-13.2,63.4,3.25,29.4,48.8,38.3,8.3,55.6,58,95,44.5,0
52,97,53.6,12,31,38.7,6,9,66.7,13,26,39,22,6,4,11,25,-2,127.1,130.5,-3.4,42.3,2,35.4,70.3,50.6,11.5,59.8,60.4,95.5,45.2,0
45,81,55.6,18,37,48.6,18,28,64.3,10,27,37,27,15,4,29,28,9,117.8,108.3,9.4,60,0.93,30.2,79.5,53.7,27.1,66.7,67.5,107.5,50.8,1
36,83,43.4,14,38,36.8,18,21,85.7,11,27,38,18,11,7,26,29,-8,100,108.7,-8.7,50,0.69,33.3,62,48,25,51.8,56.4,103.5,41.2,0
37,87,42.5,7,31,22.6,12,19,63.2,12,26,38,24,12,3,14,23,-10,97.9,109.6,-11.7,64.9,1.71,32.7,70,48.9,14.7,46.6,48.8,94.5,41,0
44,92,47.8,16,39,41,10,14,71.4,10,34,44,25,9,4,22,22,-12,106.5,117.8,-11.2,56.8,1.14,30,75.6,51.6,20.6,56.5,58.1,107,42,0
43,88,48.9,12,32,37.5,13,17,76.5,14,28,42,23,8,3,18,24,-7,111,118,-7,53.5,1.28,34.8,63,48.9,18,55.7,58.1,100,43.5,0
46,93,49.5,13,29,44.8,14,23,60.9,11,29,40,25,11,1,16,16,-6,111.2,117.9,-6.7,54.3,1.56,28.8,73.8,48.9,15,56.5,57.7,106.5,43.6,0
35,90,38.9,15,48,31.3,17,26,65.4,17,24,41,25,10,0,16,21,-27,105.2,133,-27.8,71.4,1.56,36.7,65.8,48,16.5,47.2,50.3,97,34.3,0
42,86,48.8,12,34,35.3,22,26,84.6,11,27,38,27,7,3,14,21,-15,113.5,130.4,-16.9,64.3,1.93,27.3,79.4,50,13.5,55.8,60.6,103,44,0
45,85,52.9,6,33,18.2,10,15,66.7,6,28,34,26,10,3,20,17,-9,101,109.5,-8.6,57.8,1.3,18.2,65.9,42,19,56.5,57.9,95.09,46.3,0
42,93,45.2,14,37,37.8,12,15,80,14,36,50,28,8,2,12,23,1,113.4,112.4,1,66.7,2.33,30.2,70.6,50,12.4,52.7,55.2,97,51,1
44,85,51.8,12,33,36.4,18,24,75,7,29,36,24,15,2,11,16,12,119.2,107.1,12.1,54.5,2.18,20.9,72.7,47.1,11.1,58.8,61.7,99,55.3,1
31,79,39.2,8,37,21.6,11,14,78.6,8,35,43,23,6,4,21,21,-17,85.3,103.2,-17.9,74.2,1.1,26.5,78.7,52.1,22.1,44.3,47.6,95,39.3,0
39,84,46.4,9,30,30,30,37,81.1,12,38,50,21,9,2,13,22,7,115.8,108.9,6.9,53.8,1.62,31.3,76.5,54.5,12.9,51.8,58.3,101,55.4,1
34,92,37,14,48,29.2,16,18,88.9,7,32,39,18,11,2,17,21,-13,91.6,103.7,-12.1,52.9,1.06,18.3,86.8,44.9,15.9,44.6,49,107,35.7,0
48,87,55.2,9,25,36,13,17,76.5,4,22,26,25,18,4,12,24,2,116.8,114.9,2,52.1,2.08,17.5,67.6,40.5,11.9,60.3,62.4,101,51.2,1
35,81,43.2,8,35,22.9,11,15,73.3,6,31,37,21,8,3,17,14,-11,95.7,105.3,-9.6,60,1.24,22.9,78.6,48.9,18.3,48.1,50.8,94,38.7,0
43,85,50.6,14,38,36.8,15,22,68.2,8,33,41,26,11,5,15,19,9,113.9,106,7.9,60.5,1.73,23.3,79.5,51.7,14.9,58.8,60.7,100.5,53.2,1
37,81,45.7,6,25,24,21,26,80.8,7,31,38,16,5,5,14,22,-12,103.1,114.1,-11.1,43.2,1.14,20,73.3,46.7,14.3,49.4,54.6,98.5,40,0
42,83,50.6,11,35,31.4,13,14,92.9,9,29,38,24,11,6,15,21,9,114.9,104.2,10.7,57.1,1.6,28.6,63.8,47.2,16,57.2,60.6,94.5,57.2,1
37,80,46.3,18,41,43.9,13,16,81.3,6,30,36,16,6,3,16,15,-11,107.1,118.4,-11.2,43.2,1,15.6,80,45.9,16.3,57.5,60.3,98,39.5,0
41,92,44.6,14,35,40,12,21,57.1,10,29,39,22,12,2,12,23,-15,106.9,120.6,-13.7,53.7,1.83,25.5,63.8,43.1,11.9,52.2,53.3,101.5,39.4,0
46,98,46.9,9,31,29,9,11,81.8,17,28,45,25,10,6,9,21,-8,115.8,124.2,-8.4,54.3,2.78,35.8,69,50.5,9.5,51.5,53.5,95,46.3,0
34,80,42.5,13,34,38.2,23,31,74.2,11,26,37,23,15,5,16,22,-7,106.1,114.4,-8.3,67.6,1.44,28,65.9,45.1,16.3,50.6,55.5,97.5,46.2,0
37,94,39.4,11,36,30.6,13,17,76.5,15,30,45,22,8,5,11,15,-4,104.3,108.5,-4.3,59.5,2,34.5,74.4,51.5,11.7,45.2,48.3,94,46.2,0
40,107,37.4,17,44,38.6,5,8,62.5,14,29,43,26,10,2,10,20,-21,98.1,120.6,-22.5,65,2.6,27.5,74.4,44.4,9.6,45.3,46.1,103,35,0
43,87,49.4,15,31,48.4,15,19,78.9,13,38,51,22,13,5,17,15,35,116,80.2,35.8,51.2,1.29,28.9,75,54.5,17,58,60.8,100.5,67.8,1
35,88,39.8,13,37,35.1,12,15,80,11,36,47,20,7,5,17,17,-8,96,102,-6,57.1,1.18,24.1,82.6,51,17.2,47.2,50.2,100,41.4,0
40,77,51.9,18,35,51.4,21,25,84,11,35,46,21,8,4,21,13,12,119,108.1,10.9,52.5,1,34.2,81.3,60.5,21,63.6,67.6,99.5,54.9,1
39,97,40.2,11,37,29.7,21,24,87.5,11,42,53,25,10,6,15,24,1,100.9,100,0.9,64.1,1.67,25,69.4,47.5,13.8,45.9,51.1,98.72,52.2,1
43,87,49.4,9,31,29,11,13,84.6,5,26,31,27,17,6,14,21,-3,106,109,-3,62.8,1.93,20,73,43.9,14,54.6,57.2,100,50.5,0
40,85,47.1,14,31,45.2,15,18,83.3,12,38,50,21,12,9,18,25,3,110.1,107.1,3,52.5,1.17,29.2,76.5,53.5,18.2,55.3,58.7,99,53.6,1
27,90,30,7,34,20.6,12,14,85.7,11,34,45,20,11,7,14,20,-10,75.3,83.8,-8.6,74.1,1.43,20.3,70.6,42.6,14.4,33.9,38,98,37.5,0
54,94,57.4,11,24,45.8,17,19,89.5,7,35,42,32,15,7,13,25,34,125.9,96.2,29.7,59.3,2.46,19,76.5,50.5,12,63.3,66.4,107,65.8,1
35,89,39.3,12,46,26.1,10,14,71.4,9,36,45,30,6,4,17,20,-1,91.1,91.2,-0.1,85.7,1.76,21.8,66.1,44.7,16.8,46.1,48.3,101.5,49,0
