FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,W/L
39,96,40.6,18,48,37.5,15,22,68.2,12,29,41,24,9,4,9,14,-20,112.1,133.7,-21.6,61.5,2.67,30,64.4,44.8,9.1,50,52.5,98.5,40.6,0
32,87,36.8,11,32,34.4,20,25,80,3,42,45,20,9,1,16,21,-7,89.6,96.2,-6.6,62.5,1.25,16.9,72.4,44.4,15.1,43.1,48.5,106,44.2,0
41,78,52.6,10,24,41.7,25,31,80.6,10,37,47,25,3,7,19,21,6,120.6,113.3,7.4,61,1.32,36.6,74.1,57.9,19.6,59,63.8,97.5,55.6,1
45,100,45,12,39,30.8,10,12,83.3,10,38,48,19,2,3,12,22,-17,105.7,122.9,-17.2,42.2,1.58,21.4,79.2,48.1,11.3,51,53.2,105.5,38.6,0
40,80,50,11,31,35.5,19,29,65.5,12,32,44,23,9,7,19,20,11,111.1,100,11.1,57.5,1.21,32.6,76,55.2,19.2,56.9,59.3,99,57.6,1
33,88,37.5,9,34,26.5,10,15,66.7,10,44,54,20,8,2,16,15,-9,85,94,-9,60.6,1.25,22.4,83.3,51.8,16,42.6,44.9,100,45.4,0
39,89,43.8,8,26,30.8,16,19,84.2,11,32,43,17,3,4,11,18,-26,106.3,132,-25.7,43.6,1.55,25,76.7,48.4,11.5,48.3,52.4,96.5,35.2,0
42,81,51.9,20,44,45.5,27,33,81.8,5,32,37,28,4,5,17,23,-3,124.8,125.2,-0.5,66.7,1.65,16.3,71.2,46.3,16.2,64.2,68.6,106,50.8,0
48,85,56.5,12,24,50,14,16,87.5,4,30,34,29,6,3,8,23,8,131.2,122.6,8.6,60.4,3.63,23.7,72.7,50,8.6,63.5,66.3,93,53.8,1
48,115,41.7,17,53,32.1,23,25,92,11,43,54,37,6,2,7,26,4,117.2,114.8,2.5,77.1,5.29,29.9,80,52.5,6,49.1,54,104.6,52.6,1
39,87,44.8,17,48,35.4,16,21,76.2,8,29,37,24,3,4,8,17,-15,116.8,131.3,-14.4,61.5,3,19.6,69.8,42.6,8.4,54.6,57.7,95.5,44.4,0
33,90,36.7,9,41,22,39,50,78,17,44,61,22,4,2,17,21,4,107.5,100.9,6.6,66.7,1.29,34.9,73,54,16,41.7,50.9,97.36,53.7,1
38,93,40.9,6,31,19.4,33,37,89.2,10,39,49,22,8,5,8,22,-2,109.5,111.4,-1.9,57.9,2.75,24.6,80.4,50.9,7.6,44.1,52.6,105,50.9,0
50,105,47.6,21,49,42.9,28,38,73.7,13,42,55,30,7,4,20,36,-4,125.2,128.6,-3.4,60,1.5,35.5,83,57.4,16.8,57.6,61.2,107.77,45.7,0
42,92,45.7,12,35,34.3,17,23,73.9,13,39,52,23,9,2,11,14,16,114.1,98,16.2,54.8,2.09,30.2,91.1,58.2,11.1,52.2,55.3,99,57,1
42,92,45.7,17,44,38.6,8,11,72.7,7,35,42,23,8,3,14,19,-10,109,120.2,-11.2,54.8,1.64,25.5,80.4,51.5,14,54.9,56.3,99.5,41.8,0
39,91,42.9,14,43,32.6,17,25,68,9,33,42,19,7,5,11,17,-3,107.9,109.8,-1.9,48.7,1.73,22.4,81.4,47.5,10.9,50.5,53.4,101.5,45.3,0
45,95,47.4,18,47,38.3,13,17,76.5,13,35,48,30,11,9,11,11,25,121,96,25,66.7,2.73,28.3,76.6,51,11,56.8,59,100,58.5,1
44,95,46.3,22,50,44,17,24,70.8,6,43,49,30,6,13,17,17,4,112.4,108.8,3.5,68.2,1.76,24.5,68.2,48.7,15,57.9,60.2,102.34,55.4,1
40,84,47.6,12,42,28.6,15,20,75,9,35,44,26,9,5,18,20,-2,108.1,112.4,-4.3,65,1.44,33.3,67.9,52,18.2,54.8,57.7,98,52.6,0
44,94,46.8,11,40,27.5,12,19,63.2,6,50,56,28,10,7,14,16,20,105.7,85.8,19.9,63.6,2,20.4,76.8,52,13.3,52.7,54.2,105.5,63.7,1
40,84,47.6,21,50,42,17,19,89.5,4,31,35,25,0,3,11,25,-8,120.4,129.9,-9.5,62.5,2.27,13,76.7,43.8,11.2,60.1,63.9,97.5,44.1,0
36,86,41.9,17,45,37.8,20,30,66.7,5,38,43,25,11,9,16,20,6,103.8,98.1,5.7,69.4,1.56,21.4,72.7,46.8,15.2,51.7,54.9,105,51.1,1
51,101,50.5,16,44,36.4,21,28,75,14,40,54,28,7,3,13,28,16,124.1,110.8,13.3,54.9,2.15,30.9,80.7,56.3,11.6,58.4,61.3,111.5,58.7,1
40,89,44.9,14,44,31.8,13,19,68.4,10,38,48,23,5,10,16,22,-4,105.9,109.9,-4,57.5,1.44,24.5,67.2,47.4,15.8,52.8,55,101,47.2,0
43,84,51.2,15,38,39.5,21,26,80.8,8,42,50,26,6,7,16,14,16,119.6,102.9,16.7,60.5,1.63,20.9,70.8,50.9,15.7,60.1,63.9,102.5,60.9,1
48,85,56.5,17,40,42.5,17,21,81,3,44,47,34,1,7,12,18,19,128.7,112.1,16.6,70.8,2.83,20.5,75.4,54,11.9,66.5,69,100,59.8,1
39,83,47,15,43,34.9,26,31,83.9,4,22,26,24,8,3,7,18,-4,121.4,125.5,-4.1,61.5,3.43,15.2,68.6,38.3,7.1,56,61.6,98,48.5,0
44,87,50.6,17,35,48.6,11,11,100,11,35,46,29,5,6,12,18,16,127.5,111.1,16.4,65.9,2.42,34.9,69.8,54.2,13.2,60.3,63.2,90.5,61,1
42,91,46.2,16,40,40,18,21,85.7,15,34,49,27,7,2,14,21,-1,119.2,121.4,-2.2,64.3,1.93,36,74.5,54.6,14.1,54.9,58.9,98.5,49,0
34,94,36.2,17,43,39.5,22,24,91.7,12,30,42,19,5,6,9,18,-14,107,121,-14,55.9,2.11,26.2,74.4,46.2,9,45.2,51.2,100,40.1,0
36,86,41.9,18,45,40,22,23,95.7,12,39,51,20,3,2,12,15,9,117.9,108.4,9.5,55.6,1.67,29.4,79.6,55.2,12.6,52.3,58.3,95,50.7,1
44,94,46.8,20,39,51.3,15,16,93.8,10,43,53,26,6,8,9,14,23,123,99,24,59.1,2.89,21.6,75.9,50.5,9,57.4,60.9,100.5,60.5,1
43,90,47.8,14,36,38.9,21,27,77.8,14,38,52,29,2,9,17,18,-7,121,126.7,-5.7,67.4,1.71,36,75.9,56.7,17,55.6,59.4,100.5,49.2,0
37,83,44.6,7,33,21.2,23,27,85.2,8,25,33,19,6,0,17,18,-29,103,134.3,-31.4,51.4,1.12,29.8,77.1,50,16.8,48.8,54.8,100,34.4,0
41,99,41.4,19,51,37.3,6,9,66.7,12,44,56,21,3,3,9,16,10,108.1,98,10.1,51.2,2.33,25.4,84.9,53.6,9.1,51,52,99,50.7,1
42,97,43.3,16,41,39,7,13,53.8,10,34,44,19,6,3,9,24,-5,109.2,113.1,-3.9,45.2,2.11,25.9,67.3,46,9.2,51.5,52.1,98.5,44,0
48,93,51.6,22,47,46.8,15,24,62.5,12,29,41,27,5,7,9,17,8,133,125,8,56.3,3,26,69.6,46.9,9,63.4,64.2,100,53.9,1
39,91,42.9,12,43,27.9,17,24,70.8,12,37,49,23,7,8,13,28,-3,109.2,111.1,-1.9,59,1.77,30.9,60.6,47.1,13.3,49.5,52.7,98.5,49.3,0
39,89,43.8,20,47,42.6,22,28,78.6,13,30,43,19,6,4,13,17,8,122.4,114.3,8.2,48.7,1.46,33.3,75.6,53.1,13.3,55.1,59.2,98,49.5,1
47,92,51.1,13,40,32.5,20,24,83.3,13,34,47,24,4,2,11,18,4,127,121.8,5.2,51.1,2.18,29.8,74,52.6,11,58.2,61.9,100.5,52.4,1
49,96,51,13,37,35.1,13,21,61.9,15,38,53,23,5,2,8,17,27,127.8,100,27.8,46.9,2.88,36,79.6,57.6,8.2,57.8,58.9,97,59.7,1
40,79,50.6,11,27,40.7,18,27,66.7,11,43,54,22,4,8,16,20,18,117.2,96.8,20.4,55,1.38,33.3,76.2,58.3,17.2,57.6,60,93.5,58.5,1
39,96,40.6,11,38,28.9,25,37,67.6,17,30,47,19,4,3,9,20,-15,112.9,131.6,-18.8,48.7,2.11,35.5,72.7,50.9,8.9,46.4,50.8,99.5,40.6,0
39,77,50.6,12,35,34.3,16,24,66.7,6,32,38,27,8,6,13,18,-1,109.3,112.6,-3.4,69.2,2.08,19,71.1,46,13.4,58.4,60.5,96,52,0
44,84,52.4,16,41,39,14,19,73.7,11,32,43,25,5,6,15,12,8,124.2,115.8,8.4,56.8,1.67,31,64.2,49.5,15.8,61.9,63.9,95,53.7,1
47,100,47,15,50,30,11,13,84.6,14,27,41,28,7,4,10,25,-3,117.6,121.8,-4.1,59.6,2.8,30.9,62.2,45,9.8,54.5,56.8,91.92,46.4,0
45,89,50.6,18,38,47.4,15,17,88.2,12,34,46,22,4,8,14,21,12,124.2,112.1,12.1,48.9,1.57,28.9,72.5,52.1,14.1,60.7,63.7,99,53,1
33,93,35.5,15,51,29.4,20,27,74.1,17,32,49,19,5,4,11,24,-5,103.1,110.4,-7.4,57.6,1.73,33.3,63,47,11.2,43.5,48.2,97,42.3,0
32,89,36,13,43,30.2,18,20,90,13,32,45,17,11,4,19,23,-13,94.1,106.9,-12.9,53.1,0.89,31.6,80,51.5,18.8,43.3,48.6,101,37.7,0
48,92,52.2,24,51,47.1,21,21,100,9,37,46,35,11,7,13,17,20,134.3,115.2,19,72.9,2.69,22.7,78.4,52.6,12.4,65.2,69.6,105,59.4,1
38,90,42.2,16,40,40,10,15,66.7,13,39,52,22,7,3,14,11,4,102,99,3,57.9,1.57,25.5,89.1,54.5,14,51.1,52.8,99.5,50.5,1
35,90,38.9,15,46,32.6,22,27,81.5,14,39,53,27,6,4,17,22,-3,104.9,108.9,-4,77.1,1.59,31.6,67.8,50,16.7,47.2,52.5,101.5,48.5,0
43,83,51.8,14,33,42.4,17,22,77.3,8,41,49,23,10,4,16,17,19,114.7,97,17.7,53.5,1.44,20.5,78.2,52.5,15.7,60.2,63.1,101.5,58.5,1
34,87,39.1,15,43,34.9,20,25,80,10,32,42,23,7,10,8,20,-6,106.2,110.1,-3.9,67.6,2.88,18.2,65.4,41.1,8.2,47.7,52.6,98,51.7,0
41,88,46.6,16,41,39,22,27,81.5,8,44,52,27,5,6,14,23,4,115.4,111.5,3.8,65.9,1.93,22.4,69.7,49.6,13.5,55.7,60.1,104,53.4,1
45,101,44.6,17,44,38.6,11,17,64.7,8,40,48,30,4,3,11,27,-4,107.3,109.9,-2.6,66.7,2.73,16.9,81.8,48.2,10,53,54.4,100.08,45,0
45,88,51.1,16,44,36.4,16,23,69.6,11,41,52,25,4,5,11,21,11,122,113.3,8.7,55.6,2.27,28.3,80.8,56.1,11,60.2,62.2,99,55.5,1
41,86,47.7,17,44,38.6,7,8,87.5,10,30,40,24,3,1,13,11,-4,116.5,123.6,-7.1,58.5,1.85,33.3,73.8,52.9,14.3,57.6,59.2,90,48.9,0
46,86,53.5,13,38,34.2,25,31,80.6,8,47,55,25,8,4,13,17,46,127.5,80.8,46.7,54.3,1.92,24.4,80,57.4,12.7,61,65.2,103,79.1,1
46,92,50,11,37,29.7,18,23,78.3,13,32,45,24,5,5,9,16,7,124.7,118.8,6,52.2,2.67,34.7,64.8,50.5,9.3,56,59.2,96.5,55.3,1
38,88,43.2,19,45,42.2,23,27,85.2,10,41,51,22,5,8,12,14,21,118,96,22,57.9,1.83,24.5,76.3,51.8,12,54,59.1,100.5,60.7,1
42,97,43.3,17,49,34.7,13,18,72.2,16,35,51,24,11,1,13,20,14,112.9,101,11.9,57.1,1.85,35.1,77.1,54.3,12.9,52.1,54.3,100,51.2,1
35,85,41.2,17,47,36.2,33,38,86.8,9,38,47,20,7,3,8,24,7,118.8,113,5.8,57.1,2.5,25.5,75,51.4,7.9,51.2,59,100.5,53.6,1
30,79,38,11,38,28.9,28,35,80,9,37,46,16,12,2,20,21,-15,93.4,106.5,-13.1,53.3,0.8,17.6,66.7,44.1,18.9,44.9,52.4,106.5,44.3,0
49,102,48,17,44,38.6,22,28,78.6,12,34,46,28,9,5,12,22,14,124.5,112.8,11.7,57.1,2.33,27.6,71.9,49.6,10.9,56.4,59.9,109.5,54.4,1
58,100,58,20,37,54.1,7,9,77.8,10,39,49,31,8,7,5,18,42,150.5,105.2,45.3,53.4,6.2,32.6,80.4,58.5,5.3,68,68.8,95.5,66.3,1
51,90,56.7,22,38,57.9,18,23,78.3,8,42,50,33,7,7,12,21,48,142,94,48,64.7,2.75,31.7,78.3,59.4,12,68.9,70.9,100,71.7,1
42,84,50,17,41,41.5,16,23,69.6,9,32,41,28,4,3,13,19,7,120.6,113.4,7.2,66.7,2.15,26.1,65.4,46.9,13.4,60.1,62.2,97,53.4,1
37,88,42,9,39,23.1,27,33,81.8,12,43,55,24,7,4,13,15,8,106.8,100,6.8,64.9,1.85,30.2,83.3,57,12.6,47.2,53.6,102.5,57.7,1
36,84,42.9,8,36,22.2,23,31,74.2,12,32,44,21,8,7,12,16,-3,107.3,110.4,-3.1,58.3,1.75,24.1,62.3,43,12.5,47.6,52.7,96,52,0
37,89,41.6,11,42,26.2,21,28,75,13,33,46,22,2,5,8,26,-10,114,126.1,-12.1,59.5,2.75,33.9,72.9,51.9,8.6,47.8,52.3,92.5,43.8,0
52,97,53.6,18,42,42.9,16,20,80,12,35,47,27,8,5,15,14,16,130.2,116.2,14,51.9,1.8,34,72.9,53.7,14.2,62.9,65.2,105.5,55.1,1
37,90,41.1,14,44,31.8,14,17,82.4,7,40,47,18,4,6,13,21,-4,100,103.9,-3.9,48.6,1.38,16.7,74.1,46.4,12.7,48.9,52.3,102,47.9,0
36,84,42.9,11,31,35.5,24,30,80,12,31,43,20,4,1,17,23,1,107,105,2,55.6,1.18,31.4,72.1,50,17,49.4,55,100.5,44.2,1
50,94,53.2,20,41,48.8,11,13,84.6,11,40,51,34,5,6,14,21,20,133.7,112.1,21.6,68,2.43,35.6,70,55.2,14.3,63.8,65.7,98.5,59.4,1
40,102,39.2,14,36,38.9,16,23,69.6,18,43,61,23,5,1,23,21,-9,99.1,106.3,-7.2,57.5,1,39.4,84.6,59.3,20.7,46.1,49.1,100.98,41.4,0
41,84,48.8,13,37,35.1,14,24,58.3,10,32,42,29,6,5,9,14,3,117.2,114,3.2,70.7,3.22,21.6,66.7,44.1,9.7,56.5,57.6,93,53.8,1
37,94,39.4,13,50,26,32,41,78,12,34,46,27,7,3,12,22,-2,110.2,113.1,-2.9,73,2.25,30.2,77.8,50,11.1,46.3,53.1,107.5,50,0
45,93,48.4,14,40,35,19,26,73.1,12,37,49,23,8,7,11,19,7,118.3,111.5,6.7,51.1,2.09,26.4,70.9,49.1,10.6,55.9,58.9,104,53,1
35,76,46.1,11,36,30.6,27,33,81.8,5,41,46,17,6,5,20,22,8,103.8,96.2,7.7,48.6,0.85,18.2,74.1,50,19.2,53.3,59.7,104,56.8,1
36,87,41.4,16,38,42.1,21,23,91.3,9,32,41,27,9,11,16,15,-8,109,117,-8,75,1.69,24.5,66,44.7,16,50.6,56.1,100,49.3,0
43,87,49.4,13,35,37.1,12,19,63.2,9,33,42,33,4,3,12,19,-13,114.4,127.8,-13.4,76.7,2.75,23.4,82.5,50.6,12.4,56.9,58.2,97,45.8,0
45,77,58.4,13,23,56.5,18,23,78.3,10,25,35,27,6,2,14,20,-3,133,137.8,-4.8,60,1.93,40,61.9,51.9,15.4,66.9,69.4,90.5,50.4,0
51,108,47.2,9,37,24.3,23,30,76.7,12,40,52,29,10,5,11,24,2,110.7,110,0.7,56.9,2.64,23.3,69.4,46.7,9.1,51.4,55.3,99.72,54.9,1
44,84,52.4,14,28,50,13,17,76.5,11,33,44,30,5,4,16,22,-10,121.1,133,-11.9,68.2,1.88,32.6,68,51.6,16.8,60.7,62.9,94.5,48,0
50,91,54.9,14,36,38.9,18,21,85.7,14,32,46,31,6,5,14,21,6,132,124.8,7.2,62,2.21,34.9,67.3,52.2,14,62.6,65.8,100.5,52.8,1
42,87,48.3,7,25,28,30,39,76.9,9,37,46,23,10,3,13,29,8,112,105.6,6.4,54.8,1.77,26,75,51,12,52.3,58.1,97.36,58.2,1
39,89,43.8,8,35,22.9,19,24,79.2,13,25,38,28,7,2,19,32,-20,106.1,123.8,-17.7,71.8,1.47,34.6,78.8,51.8,19.2,48.3,52.7,100,36.4,0
39,83,47,14,39,35.9,5,8,62.5,3,37,40,23,6,4,16,20,-16,98,114.1,-16.2,59,1.44,8.9,69.8,41.8,16.2,55.4,56.1,99,43,0
41,94,43.6,16,41,39,11,12,91.7,6,42,48,28,11,8,14,20,14,104.8,89.6,15.2,68.3,2,17,77.6,48.6,13.5,52.1,54.9,105,58.8,1
43,85,50.6,13,32,40.6,3,8,37.5,9,24,33,28,15,0,18,19,-2,107.4,110.6,-3.3,65.1,1.56,27.3,72.2,47.5,18.9,58.2,57.6,94.5,46.5,0
44,83,53,8,26,30.8,18,20,90,13,25,38,29,7,5,13,21,2,122.6,120.4,2.2,65.9,2.23,34.1,70.7,52.4,14,57.8,62.1,93,54.1,1
39,87,44.8,3,20,15,19,26,73.1,19,34,53,22,6,5,16,26,-16,105.3,123.4,-18.1,56.4,1.38,40.4,81.8,59.4,16.8,46.6,50.8,94.5,41.8,0
47,83,56.6,18,36,50,21,30,70,7,34,41,38,6,1,16,22,15,129.1,114.6,14.6,80.9,2.38,24.4,72.9,50.6,15.5,67.5,69.1,103,57.4,1
41,91,45.1,9,25,36,12,16,75,13,26,39,19,7,6,15,18,-29,105.1,133.3,-28.2,46.3,1.27,31.5,65.1,46.4,15.3,50,52.5,98.5,35.3,0
44,76,57.9,9,19,47.4,18,22,81.8,9,32,41,33,12,3,18,20,17,123.7,105.4,18.3,75,1.83,35.3,68.6,55.3,19.4,63.8,67.1,93,66,1
53,90,58.9,11,30,36.7,11,17,64.7,5,33,38,29,9,7,14,24,12,123.1,112.6,10.5,54.7,2.07,21.6,71.2,50.6,13.5,65,65.7,103.5,56.5,1
37,77,48.1,6,27,22.2,21,23,91.3,8,31,39,19,7,3,19,20,-12,103.1,115.3,-12.2,51.4,1,24.4,69.4,48.9,19.4,51.9,58,98,44.8,0
44,88,50,11,25,44,17,22,77.3,3,39,42,32,9,2,12,26,-4,111.5,112.1,-0.6,72.7,2.67,15.2,74.1,47,11.5,56.3,59.4,95.55,50.3,0
45,80,56.3,18,35,51.4,19,23,82.6,9,28,37,34,7,5,11,16,7,136.6,127.7,8.9,75.6,3.09,24.3,69.6,49.4,11.8,67.5,70.5,93.5,53.7,1
45,82,54.9,11,28,39.3,16,21,76.2,8,32,40,23,7,7,14,22,9,119.4,111.3,8,51.1,1.64,25,69.4,49.4,14.3,61.6,64.1,97.5,52.9,1
39,90,43.3,7,30,23.3,13,18,72.2,13,39,52,23,8,5,11,17,3,101,97.9,3.1,59,2.09,27.3,78.8,52.3,11.3,47.2,50,97,54.4,1
46,90,51.1,17,34,50,18,25,72,12,38,50,30,5,7,14,22,28,129.6,100,29.6,65.2,2.14,35.6,77.6,59.2,14.3,60.6,62.9,98.5,65.5,1
48,96,50,10,32,31.3,17,22,77.3,14,33,47,30,7,7,10,19,-5,120.6,125.5,-4.9,62.5,3,32.7,67.3,50,9.8,55.2,58.2,92.38,50.8,0
48,100,48,22,46,47.8,9,9,100,7,43,50,29,8,10,13,19,12,117.6,105.5,12.1,60.4,2.23,17.3,79.3,50,12,59,61.1,108.5,54.9,1
40,85,47.1,9,27,33.3,17,21,81,8,35,43,25,7,5,10,16,6,111.6,106.4,5.2,62.5,2.5,26.7,80,53.3,10.5,52.4,56.2,94.5,55.9,1
32,86,37.2,17,45,37.8,15,18,83.3,13,31,44,23,9,4,19,16,-8,98,106.1,-8.2,71.9,1.21,29.1,82.5,51.6,19.4,47.1,51.1,98,39.9,0
44,93,47.3,11,28,39.3,18,20,90,11,31,42,28,10,3,15,23,7,114.7,107.8,6.9,63.6,1.87,32.7,69.2,51.5,14.7,53.2,57.5,102,56.5,1
40,106,37.7,13,41,31.7,20,20,100,24,32,56,26,14,6,15,19,7,114.1,106,8.1,65,1.73,50,69.4,58.3,15.2,43.9,49.2,99.5,52.5,1
42,92,45.7,10,28,35.7,11,15,73.3,13,27,40,25,12,6,15,21,-16,104,121,-17,59.5,1.67,26.9,58,42.2,14.9,51.1,53.2,100.5,42.8,0
43,90,47.8,11,31,35.5,10,12,83.3,13,40,53,26,9,1,13,18,7,111.5,106.4,5.1,60.5,2,34.7,77.8,57.3,13.5,53.9,56.2,95,53.2,1
41,88,46.6,3,23,13,22,32,68.8,12,32,44,22,10,4,9,19,-8,110.3,121.1,-10.7,53.7,2.44,38,69.6,53.1,9.3,48.3,52.4,96,49.6,0
47,100,47,17,35,48.6,23,26,88.5,15,41,56,31,11,6,21,23,3,116.5,113.9,2.6,66,1.48,37,76.4,56.9,18.3,55.5,60.1,104.15,50.9,1
38,79,48.1,9,28,32.1,15,25,60,3,37,40,28,8,7,13,18,14,111.1,94.5,16.6,73.7,2.15,22.9,73.1,49,14.4,53.8,55.6,90.5,59.4,1
37,77,48.1,11,25,44,29,37,78.4,9,35,44,24,7,4,14,26,10,116.3,106.1,10.2,64.9,1.71,25,74.5,51.6,14.3,55.2,61.1,98,55,1
41,95,43.2,8,39,20.5,13,18,72.2,11,31,42,23,9,4,5,13,-8,108.4,114.4,-6,56.1,4.6,23.2,69.6,44.1,5.3,47.4,50,96,47.5,0
41,85,48.2,9,24,37.5,16,20,80,9,29,38,27,7,5,13,22,1,112.6,109.3,3.4,65.9,2.08,28.9,81,54,13.7,53.5,57,96,48,1
47,92,51.1,9,27,33.3,20,27,74.1,7,34,41,27,4,6,4,23,8,129.5,121.1,8.4,57.4,6.75,27.1,83.7,53.8,4.2,56,59.2,95,54.2,1
40,87,46,6,29,20.7,28,34,82.4,9,24,33,18,6,2,12,23,-14,115.2,128,-12.8,45,1.5,28,60.5,43,12.1,49.4,55.9,99.5,41.3,0
46,87,52.9,8,27,29.6,24,27,88.9,15,32,47,27,7,2,10,21,8,131.9,124.7,7.2,58.7,2.7,40.5,78.6,59.5,10.6,57.5,62.7,93.5,52.9,1
45,97,46.4,8,25,32,6,9,66.7,14,25,39,25,7,5,16,22,-26,105.1,130,-24.9,55.6,1.56,33.3,62.2,46.5,16.2,50.5,51.5,99.5,40.5,0
42,81,51.9,8,29,27.6,28,31,90.3,10,27,37,23,6,4,12,18,5,125,119.8,5.2,54.8,1.92,34.1,68.3,51.2,12.5,56.8,63.4,96,52.7,1
45,93,48.4,9,29,31,20,27,74.1,10,33,43,28,9,4,10,20,9,117.8,108.9,8.9,62.2,2.8,30.8,73.3,50.5,9.9,53.2,56.7,101,52.9,1
37,92,40.2,12,37,32.4,14,18,77.8,13,27,40,24,10,4,12,15,-12,103.1,114.3,-11.2,64.9,2,30.4,63.3,45.7,12.4,46.7,50,97.5,43.3,0
43,78,55.1,15,28,53.6,12,15,80,6,33,39,31,10,1,21,24,2,111.9,109.9,2,72.1,1.48,18.9,74.5,50,20.8,64.7,66.8,101,52.2,1
45,92,48.9,11,32,34.4,27,30,90,17,27,44,31,13,2,10,19,24,133.3,107.2,26.1,68.9,3.1,42.9,60.9,51.6,10.4,54.9,60.8,96.5,63.2,1
44,89,49.4,10,28,35.7,11,12,91.7,10,34,44,27,9,5,16,22,9,111.2,103.1,8.1,61.4,1.69,32.6,67.3,51.5,16.3,55.1,57.8,97.5,55.9,1
40,84,47.6,11,27,40.7,22,25,88,14,38,52,28,8,3,19,17,9,115.3,106.1,9.2,70,1.47,37.8,75,57.7,19.4,54.2,59.5,98,56.3,1
44,94,46.8,10,28,35.7,13,19,68.4,17,31,48,27,5,6,9,9,6,119.4,114.1,5.2,61.4,3,35.2,66,50,9.7,52.1,54.2,92.5,54.3,1
43,85,50.6,7,27,25.9,17,23,73.9,10,34,44,30,6,3,16,23,8,111.1,104.1,7,69.8,1.88,32.6,79.5,55.6,16.2,54.7,57.8,98.5,54.8,1
42,88,47.7,18,36,50,12,19,63.2,15,33,48,25,6,2,11,13,15,126.7,108.8,17.9,59.5,2.27,39.6,74.5,56.8,12.2,58,59.2,90.5,55.7,1
37,85,43.5,7,27,25.9,11,12,91.7,5,33,38,29,12,9,14,14,-5,94.8,100,-5.2,78.4,2.07,18.8,64.8,43.1,14.4,47.6,51,97,52.9,0
36,89,40.4,18,42,42.9,12,14,85.7,7,30,37,25,4,5,13,23,-3,105.2,108.2,-3.1,69.4,1.92,22.6,70,45.6,13.4,50.6,53.6,97,43.6,0
39,94,41.5,5,30,16.7,12,15,80,12,29,41,18,5,4,14,15,-13,99,113.7,-14.7,46.2,1.29,37.5,78.9,54.3,14.6,44.1,47.2,95.5,42.1,0
49,87,56.3,21,39,53.8,10,18,55.6,9,39,48,38,8,5,14,19,37,130.3,92,38.3,77.6,2.71,26.8,80.8,57,14.1,68.4,68,99.5,66.7,1
37,91,40.7,6,29,20.7,16,17,94.1,7,28,35,26,9,4,11,25,-9,96,104,-8,70.3,2.36,18.2,66.7,40.8,11,44,48.7,100.5,43.8,0
36,87,41.4,11,32,34.4,14,21,66.7,9,39,48,23,11,5,17,21,-3,94.2,99,-4.8,63.9,1.35,25,68.3,47.4,16.5,47.7,50.4,92.38,50.8,0
47,90,52.2,6,24,25,17,23,73.9,10,48,58,31,8,6,21,20,13,107.3,94.5,12.8,66,1.48,26.7,87.7,60.8,19.3,55.6,58.4,109.5,61,1
43,91,47.3,14,31,45.2,16,23,69.6,19,33,52,24,4,2,11,16,12,126.1,111.8,14.3,55.8,2.18,39.2,80.5,57.6,12,54.9,57.4,92.5,53,1
39,88,44.3,7,28,25,11,13,84.6,11,37,48,24,7,5,18,17,4,98,93.9,4.1,61.5,1.33,31.4,82,56.4,18.4,48.3,51.2,98,51.3,1
44,94,46.8,9,27,33.3,8,15,53.3,15,33,48,29,13,4,15,21,10,108.2,97.9,10.3,65.9,1.93,35.2,72.3,52.5,15.5,51.6,52.2,97,58.1,1
49,89,55.1,18,32,56.3,15,23,65.2,6,33,39,36,10,10,12,24,17,126,109.6,16.3,73.5,3,19.1,77.8,47.8,11.5,65.2,66.1,104,55.6,1
43,101,42.6,10,33,30.3,5,10,50,14,48,62,26,4,3,7,14,8,102,92.1,9.9,60.5,3.71,23,82,52.5,7.1,47.5,47.9,100,56.3,1
46,104,44.2,11,41,26.8,18,22,81.8,15,25,40,31,7,5,3,24,-4,121,125,-4,67.4,10.33,32.2,61.9,44.6,3,49.5,53.2,100,48.5,0
39,101,38.6,11,28,39.3,11,17,64.7,14,43,57,26,6,4,20,30,2,92.6,90.7,1.9,66.7,1.3,35.4,69.2,52.3,18.5,44.1,46.1,97.81,48,1
39,87,44.8,9,22,40.9,13,17,76.5,7,34,41,28,10,11,10,16,3,104.2,100,4.2,71.8,2.8,18,71.2,45.1,10.4,50,52.9,96.5,54.4,1
45,86,52.3,9,23,39.1,10,16,62.5,9,38,47,35,10,3,20,21,20,111.2,90.8,20.4,77.8,1.75,26.1,68.9,50.5,20.4,57.6,58.6,98,63.6,1
27,73,37,9,28,32.1,28,39,71.8,7,34,41,15,8,3,14,14,4,96.8,92.6,4.3,55.6,1.07,26.4,72.5,49,14.9,43.2,50.5,94,49.8,1
43,89,48.3,7,26,26.9,14,16,87.5,5,30,35,24,5,3,15,24,-15,103.9,118.4,-14.6,55.8,1.6,19.1,82.5,48.3,14.6,52.2,55.7,103,41.5,0
43,91,47.3,11,32,34.4,9,13,69.2,14,36,50,24,6,1,11,24,-3,114,117.2,-3.2,55.8,2.18,33.3,78.4,55.9,11.8,53.3,54.8,93,46.3,0
